Date,Oil_Dubai_Oman_USD_per_bbl,Inflation_Asia_Avg_pct,Population_Growth_Asia_Avg_pct,Population_Total_Asia_Avg_millions,ENSO_Nino34_Anomaly,Fertilizer_Composite_USD_per_mt
2008-07-01,131.2247826087,7.181424567796046,1.238367707571911,505.5867314198543,26.99,741.6
2008-08-01,113.21095238095,6.663139189006864,1.2332223607572195,506.02055565437155,26.72,763.5
2008-09-01,95.96954545455,6.144853810217681,1.2280770139425279,506.4543798888889,26.47,725.55
2008-10-01,68.62086956522,5.643287314615245,1.2230976460573426,506.87420979326043,26.37,689.2
2008-11-01,51.3835,5.125001935826062,1.217952299242651,507.3080340277778,26.25,519.9
2008-12-01,40.99681818182,4.623435440223627,1.2129729313574658,507.7278639321494,25.74,427.2
2009-01-01,44.96714285714,4.105150061434443,1.2078275845427742,508.1616881666667,25.66,385.725
2009-02-01,43.138,4.273780288258176,1.2051963128738663,508.5989931488585,25.96,389.025
2009-03-01,45.57590909091,4.4260914608731605,1.202819680398724,508.99397829406394,26.59,402.76
2009-04-01,50.18,4.594721687696893,1.200188408729816,509.4312832762557,27.47,364.35
2009-05-01,57.39571428571,4.757912229784377,1.1976420167921633,509.85448164611876,27.99,340.325
2009-06-01,69.21090909091,4.926542456608109,1.1950107451232557,510.2917866283105,28.04,319.26
2009-07-01,64.96956521739,5.089732998695593,1.192464353185603,510.7149849981735,27.78,287.325
2009-08-01,71.32428571429,5.258363225519326,1.189833081516695,511.1522899803653,27.42,274.58000000000004
2009-09-01,67.90818181818,5.4269934523430585,1.1872018098477872,511.5895949625571,27.4,250.575
2009-10-01,73.27545454545,5.590183994430542,1.1846554179101345,512.0127933324201,27.6,253.6
2009-11-01,77.62523809524,5.758814221254275,1.1820241462412269,512.4500983146119,28.16,252.04000000000002
2009-12-01,75.48863636364,5.922004763341758,1.1794777543035742,512.8732966844749,28.34,268.1
2010-01-01,76.635,6.090634990165491,1.1768464826346663,513.3106016666667,28.07,285.025
2010-02-01,73.56388888889,6.2390226482926785,1.1756754916816927,513.7577732977169,28.01,295.1
